cik,company,event_seq,event_date,edgar_date,lopucki_date,date_discrepancy_days,intra_event_spread_days,source,chapter,sic,is_primary_filer,n_filings
1004980,"PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)",2,2020-06-24,2020-06-24,,,0,8K_FTS+8K_SUBMISSIONS,,4931,1,2
1005015,Audio Visual Services Corp.,1,2001-12-17,,2001-12-17,,0,LOPUCKI,11,7389,1,1
100517,UAL Corporation,1,2002-12-09,,2002-12-09,,0,LOPUCKI,11,4512,1,1
100517,"United Airlines Holdings, Inc.",2,2006-01-23,2006-01-23,,,0,8K_SUBMISSIONS,,4512.0,1,1
1005214,AMERICAN WAGERING INC,1,2004-08-25,2004-08-25,,,202,8K_SUBMISSIONS,,7990.0,1,6
1005414,"Toys R Us, Inc.",1,2017-09-19,,2017-09-19,,0,LOPUCKI,11,5945,1,1
1005653,New American Healthcare Corp.,1,2000-04-19,,2000-04-19,,0,LOPUCKI,11,8062,1,1
1006269,Loral Space & Communications Ltd.,1,2003-07-15,,2003-07-15,,0,LOPUCKI,11,3663,1,1
1006269,LORAL SPACE & COMMUNICATIONS INC.,2,2005-08-05,2005-08-05,,,0,8K_SUBMISSIONS,,3663.0,1,1
1006384,"Golden Elephant Glass Technology, Inc.",1,2005-09-07,2005-09-07,,,0,8K_SUBMISSIONS,,3231.0,1,1
1006637,TICKETMASTER ENTERTAINMENT LLC,1,2009-05-18,2009-05-18,,,0,8K_SUBMISSIONS,,7990.0,1,1
1006837,PRIMUS TELECOMMUNICATIONS GROUP INC  (VATE),1,2009-03-16,2009-03-16,2009-03-16,0,91,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,4813,1,11
1006868,LONG ISLAND PHYSICIAN HOLDINGS CORP,1,2007-09-07,2007-09-07,,,276,8K_SUBMISSIONS,,8000.0,1,2
1006918,TRUMP ATLANTIC CITY FUNDING INC,1,2004-11-24,2004-11-24,,,138,8K_SUBMISSIONS,,7990.0,1,2
100716,UNICO AMERICAN CORP  (UNAM),1,2023-06-02,2023-06-02,,,10,8K_FTS+8K_SUBMISSIONS,,6331,1,4
1007184,Einstein Noah Bagel Corp,1,2000-04-27,,2000-04-27,,0,LOPUCKI,11,5812,1,1
1007588,DecisionOne Holdings Corp.,1,2000-02-14,,2000-02-14,,0,LOPUCKI,11,7373,1,1
1008597,"Planet Hollywood International, Inc.",1,1999-10-12,,1999-10-12,,0,LOPUCKI,11,5812,1,1
1008654,TUPPERWARE BRANDS CORP  (TUP),1,2024-09-18,2024-09-18,,,0,8K_FTS+8K_SUBMISSIONS,,3089,1,2
1008848,"Acorda Therapeutics, Inc.",1,2024-04-02,2024-04-02,,,129,8K_FTS+8K_SUBMISSIONS,,2836,1,4
1009403,"marchFIRST, Inc.",1,2001-04-12,,2001-04-12,,0,LOPUCKI,11,8742,1,1
1009672,CARBO CERAMICS INC,1,2020-03-30,2020-03-30,,,4,8K_FTS+8K_SUBMISSIONS,,3290,1,4
1009759,Capstone Green Energy Corp,1,2023-09-28,2023-09-28,,,50,8K_FTS+8K_SUBMISSIONS,,3510,1,4
100979,ARIS INDUSTRIES INC,1,2004-10-21,2004-10-21,,,5,8K_SUBMISSIONS,,2300.0,1,2
1009833,GABRIEL TECHNOLOGIES CORP,1,2013-03-04,2013-03-04,,,0,8K_FTS+8K_SUBMISSIONS,,7310,1,2
1009891,AIR INDUSTRIES GROUP,1,2005-01-14,2005-01-14,,,0,8K_SUBMISSIONS,,3728.0,1,1
1010002,COLUMBIA BANCORP \OR\,1,2010-01-26,2010-01-26,,,0,8K_SUBMISSIONS,,6022.0,1,1
1010026,3DFX INTERACTIVE INC,1,2005-12-09,2005-12-09,,,0,8K_SUBMISSIONS,,7372.0,1,1
1010086,SIGA TECHNOLOGIES INC  (SIGA),1,2014-09-18,2014-09-18,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
1010086,SIGA TECHNOLOGIES INC  (SIGA),2,2016-04-14,2016-04-14,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
1010286,Advanced Radio Telecom Corp.,1,2001-04-20,,2001-04-20,,0,LOPUCKI,11,4812,1,1
1010286,FiberTower Corporation,2,2012-07-17,2012-07-18,2012-07-17,1,1,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,4812,1,3
1010286,FiberTower CORP,3,2014-03-31,2014-03-31,,,0,8K_FTS+8K_SUBMISSIONS,,4812,1,2
1010610,TLC VISION CORP,1,2009-12-24,2009-12-24,,,138,8K_FTS+8K_SUBMISSIONS,,8093,1,4
101063,"Chiquita Brands International, Inc.",1,2001-11-28,,2001-11-28,,0,LOPUCKI,11,100,1,1
1010775,Mirant Corp.,1,2003-07-14,,2003-07-14,,0,LOPUCKI,11,4911,1,1
1010775,MIRANT CORP,2,2005-12-15,2005-12-15,,,0,8K_SUBMISSIONS,,4911.0,1,1
1011308,Footstar Inc.,1,2004-03-02,,2004-03-02,,0,LOPUCKI,11,5661,1,1
1011308,FOOTSTAR INC,2,2006-02-02,2006-02-02,,,0,8K_SUBMISSIONS,,2834.0,1,1
1011509,Apex Silver Mines Limited,1,2009-01-12,2009-01-13,2009-01-12,1,57,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1040,1,5
1011584,Fine Host Corporation,1,1999-01-07,,1999-01-07,,0,LOPUCKI,11,5812,1,1
1011630,ProMedCo Management Company,1,2001-04-04,,2001-04-04,,0,LOPUCKI,11,8011,1,1
1011836,Southern Pacific Funding Corporation,1,1998-10-01,,1998-10-01,,0,LOPUCKI,11,6159,1,1
1012477,AVADEL PHARMACEUTICALS PLC  (AVDL),1,2019-02-12,2019-02-12,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
1012493,FERRELLGAS PARTNERS FINANCE CORP,1,2021-01-11,2021-01-11,,,0,8K_FTS+8K_SUBMISSIONS,,5900,1,2
1013148,XYBERNAUT CORP,1,2005-07-26,2005-07-26,,,0,8K_SUBMISSIONS,,3576.0,1,1
1013148,XYBERNAUT CORP,2,2006-12-11,2006-12-11,,,0,8K_SUBMISSIONS,,3576.0,1,1
1013218,Alterra HealthCare Corp,1,2003-01-22,,2003-01-22,,0,LOPUCKI,11,8300,1,1
1013238,ARADIGM CORP,1,2019-02-19,2019-02-19,,,0,8K_FTS+8K_SUBMISSIONS,,3845,1,2
1013240,"ICG Communications, Inc.",1,2000-11-14,,2000-11-14,,0,LOPUCKI,11,4813,1,1
1013243,aaiPharma Inc.,1,2005-05-10,2005-05-12,2005-05-10,2,2,8K_SUBMISSIONS+LOPUCKI,11,8734,1,2
1013453,"VALCOM, INC",1,2008-08-15,2008-08-15,,,0,8K_SUBMISSIONS,,7819.0,1,1
1013606,ENDOLOGIX INC /DE/,1,2020-07-09,2020-07-09,,,0,8K_FTS+8K_SUBMISSIONS,,3841,1,2
1013740,"Exodus Communications, Inc.",1,2001-09-26,,2001-09-26,,0,LOPUCKI,11,7389,1,1
1013871,"NRG Energy, Inc. (2002)",1,2002-11-22,,2002-11-22,,173,LOPUCKI,no order for relief,4911,1,2
1013871,"NRG ENERGY, INC.  (NRG)",2,2017-06-14,2017-06-14,,,187,8K_FTS+8K_SUBMISSIONS,,4911,1,4
1014052,"Digerati Technologies, Inc.  (DTGI)",1,2013-06-05,2013-06-05,,,310,8K_FTS+8K_SUBMISSIONS,,4813,1,8
1014133,COMMUNITY CENTRAL BANK CORP,1,2011-05-04,2011-05-04,,,0,8K_FTS+8K_SUBMISSIONS,,6022,1,2
1014653,PROFILE TECHNOLOGIES INC,1,2011-05-10,2011-05-10,,,0,8K_FTS+8K_SUBMISSIONS,,3559,1,2
1014763,"AMARILLO BIOSCIENCES INC  (AIMD, AIMDW)",1,2013-11-01,2013-11-01,,,474,8K_FTS+8K_SUBMISSIONS,,2834,1,10
1015155,CHARLES & COLVARD LTD,1,2026-03-04,2026-03-04,,,0,8K_SUBMISSIONS,,3910.0,1,1
1015360,Dailey International Inc.,1,1999-05-28,,1999-05-28,,0,LOPUCKI,11,1389,1,1
1015535,"AMF Bowling Worldwide, Inc.",1,2001-07-02,,2001-07-02,,0,LOPUCKI,11,7900,1,1
1015611,"United Australia-Pacific, Inc.",1,2002-03-29,,2002-03-29,,0,LOPUCKI,11,4841,1,1
1015629,"Pegasus Satellite Communications, Inc.",1,2004-06-02,,2004-06-02,,0,LOPUCKI,11,4833,1,1
1015868,TL  ADMINISTRATION CORP,1,2005-08-04,2005-08-04,,,0,8K_SUBMISSIONS,,2833.0,1,1
1015979,Bio Nitrogen Holdings Corp,1,2015-11-04,2015-11-04,,,0,8K_FTS+8K_SUBMISSIONS,,5040,1,2
1016177,"Dura Automotive Systems, Inc.",1,2006-10-30,2006-11-03,2006-10-30,4,17,8K_SUBMISSIONS+LOPUCKI,11,3714,1,3
1016177,DURA AUTOMOTIVE SYSTEMS INC,2,2008-05-19,2008-05-19,,,0,8K_SUBMISSIONS,,3714.0,1,1
1016466,"Majestic Star Casino, LLC",1,2009-11-23,,2009-11-23,,0,LOPUCKI,11,7900,1,1
1016546,ALTAIR NANOTECHNOLOGIES INC,1,2008-09-05,2008-09-05,,,19,8K_SUBMISSIONS,,2890.0,1,2
1016577,Sunterra Corp.,1,2000-05-31,,2000-05-31,,0,LOPUCKI,11,7000,1,1
1016741,"Grand Court Lifestyles, Inc.",1,2000-03-20,,2000-03-20,,0,LOPUCKI,11,8050,1,1
1016900,PNG VENTURES INC,1,2009-09-10,2009-09-10,,,188,8K_FTS+8K_SUBMISSIONS,,1311,1,4
1016933,R&G FINANCIAL CORP,1,2010-04-30,2010-04-30,,,17,8K_FTS+8K_SUBMISSIONS,,6022,1,4
1017156,STEAKHOUSE PARTNERS INC,1,2008-05-20,2008-05-20,,,0,8K_SUBMISSIONS,,5812.0,1,1
1017491,"SEELOS THERAPEUTICS, INC.  (SEEL)",1,2024-11-22,2024-11-22,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
1017522,"Benedek Communications Corp. (Stations Holding Co, Inc.)",1,2002-03-22,,2002-03-22,,0,LOPUCKI,11,4833,1,1
1017616,"TONNER-ONE WORLD HOLDINGS, INC.",1,2004-11-01,2004-11-01,,,0,8K_SUBMISSIONS,,3942.0,1,1
1017648,"Adelphia Business Solutions, Inc.",1,2002-03-27,,2002-03-27,,0,LOPUCKI,11,4813,1,1
1018005,COLDWATER CREEK INC,1,2014-04-11,2014-04-11,2014-04-11,0,0,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,5621,1,3
1018099,MILLENNIUM CHEMICALS INC,1,2009-01-07,2009-01-07,,,0,8K_FTS+8K_SUBMISSIONS,,2810,1,2
1018214,"Goss Graphic Systems, Inc. (1999)",1,1999-07-30,,1999-07-30,,0,LOPUCKI,11,3555,1,1
1018221,"Florida Coast Paper Company, LLC",1,1999-04-02,,1999-04-02,,0,LOPUCKI,11,2631,1,1
1018693,Prosoft Learning CORP,1,2006-04-14,2006-04-14,,,53,8K_SUBMISSIONS,,8200.0,1,2
1018710,INTROGEN THERAPEUTICS INC,1,2008-12-05,2008-12-05,,,0,8K_SUBMISSIONS,,2834.0,1,1
1018730,"Smartalk Teleservices, Inc.",1,1999-01-19,,1999-01-19,,0,LOPUCKI,11,4899,1,1
1018980,"Costilla Energy, Inc.",1,1999-09-03,,1999-09-03,,0,LOPUCKI,11,1311,1,1
1019101,"Texas Petrochemical Holdings, Inc.",1,2003-07-20,,2003-07-20,,0,LOPUCKI,11,2890,1,1
1019285,"Superior Telecom, Inc.",1,2003-03-03,,2003-03-03,,0,LOPUCKI,11,3357,1,1
1019825,MOONEY AEROSPACE GROUP LTD,1,2005-01-06,2005-01-06,,,47,8K_SUBMISSIONS,,3721.0,1,2
1019883,APPALACHIAN BANCSHARES INC,1,2010-03-24,2010-03-24,,,274,8K_FTS+8K_SUBMISSIONS,,6022,1,4
1020448,IMPERIAL PETROLEUM RECOVERY CORP,1,2013-04-05,2013-04-05,,,0,8K_FTS+8K_SUBMISSIONS,,3533,1,2
1020475,"GRANDPARENTS.COM, INC.",1,2017-04-17,2017-04-17,,,0,8K_FTS+8K_SUBMISSIONS,,7374,1,2
1020477,"Rotate Black, Inc.",1,2006-12-01,2006-12-01,,,0,8K_SUBMISSIONS,,7011.0,1,1
1020616,"Lason, Inc.",1,2001-12-05,,2001-12-05,,0,LOPUCKI,11,8742,1,1
1020620,At Home Corp,1,2001-09-28,,2001-09-28,,0,LOPUCKI,11,7370,1,1
1020676,ATMOSPHERIC GLOW TECHNOLOGIES INC,1,2008-03-28,2008-03-28,,,161,8K_SUBMISSIONS,,8711.0,1,3
1021010,Edge Petroleum Corporation,1,2009-10-01,2009-10-02,2009-10-01,1,78,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1311,1,5
1021096,ROOMLINX INC,1,2016-07-12,2016-07-12,,,0,8K_FTS+8K_SUBMISSIONS,,4841,1,2
1021096,"Troika Media Group, Inc.",2,2023-12-07,2023-12-07,,,116,8K_FTS+8K_SUBMISSIONS,,4841,1,6
1021352,JCC Holding Co.,1,2001-01-04,,2001-01-04,,0,LOPUCKI,11,7900,1,1
1021649,"Orbcomm Global, LP",1,2000-09-15,,2000-09-15,,0,LOPUCKI,11,4812,1,1
1021706,"Kevco, Inc.",1,2001-02-05,,2001-02-05,,0,LOPUCKI,11,3440,1,1
1021848,DELTA FINANCIAL CORP,1,2007-12-17,2007-12-17,2007-12-17,0,0,8K_SUBMISSIONS+LOPUCKI,11,6163.0,1,2
1022080,MIDWAY GAMES INC,1,2009-02-12,2009-02-12,,,0,8K_FTS+8K_SUBMISSIONS,,7372,1,2
1022329,"IMPSAT Fiber Networks, Inc.",1,2002-06-11,,2002-06-11,,0,LOPUCKI,11,4899,1,1
1022581,Consolidated Freightways Corp.,1,2002-09-03,,2002-09-03,,0,LOPUCKI,11,4213,1,1
1022646,Ultra Petroleum Corp. (2016),1,2016-04-29,2016-05-03,2016-04-29,4,321,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1311,1,5
1022646,Ultra Petroleum Corp. (2020),2,2020-05-14,2020-05-15,2020-05-14,1,103,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1311,1,7
1022974,DECODE GENETICS INC,1,2009-11-18,2009-11-18,,,197,8K_FTS+8K_SUBMISSIONS,,8731,1,4
1023052,LINENS N THINGS INC,1,2008-05-02,2008-05-02,,,413,8K_FTS+8K_SUBMISSIONS,,5700.0,1,5
1023139,EAGLE BROADBAND INC,1,2007-11-15,2007-11-15,,,0,8K_SUBMISSIONS,,3663.0,1,1
1023291,Energy Future Holdings Corp.,1,2014-04-29,,2014-04-29,,0,LOPUCKI,11,4911,1,1
1023291,Energy Future Holdings Corp /TX/,2,2015-12-11,2015-12-11,,,263,8K_FTS+8K_SUBMISSIONS,,4911,1,4
1023294,"Prime Succession, Inc.",1,2000-07-12,,2000-07-12,,0,LOPUCKI,11,7200,1,1
1023362,POWERWAVE TECHNOLOGIES INC,1,2013-01-28,2013-01-28,2013-01-28,0,0,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,3663,1,3
1023519,MCSI Inc.,1,2003-06-03,,2003-06-03,,0,LOPUCKI,11,5040,1,1
1023734,"BPZ Resources, Inc.",1,2015-03-09,2015-03-10,2015-03-09,1,297,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1311,1,9
1023994,"SG BLOCKS, INC.  (SGBX)",1,2016-07-07,2016-07-07,,,32,8K_FTS+8K_SUBMISSIONS,,5030,1,4
1023994,OLENOX INDUSTRIES INC.,2,2026-05-04,2026-05-04,,,0,8K_SUBMISSIONS,,5030.0,1,1
1024109,Crusader Energy Group Inc.,1,2009-03-31,2009-03-31,,,0,8K_FTS+8K_SUBMISSIONS,,1311,1,2
1024126,"PERNIX THERAPEUTICS HOLDINGS, INC.",1,2019-02-19,2019-02-19,,,127,8K_FTS+8K_SUBMISSIONS,,2834,1,4
1024132,FIRST GEORGIA COMMUNITY CORP,1,2008-12-11,2008-12-11,,,0,8K_SUBMISSIONS,,6022.0,1,1
1024321,"Wilshire Financial Services Group, Inc.",1,1999-03-03,,1999-03-03,,0,LOPUCKI,11,6199,1,1
1024338,"Cornerstone Propane Partners, L.P.",1,2004-06-03,,2004-06-03,,0,LOPUCKI,11,5990,1,1
1024401,Enron Corp.,1,2001-12-02,,2001-12-02,,0,LOPUCKI,11,6211,1,1
1024452,SMF ENERGY CORP,1,2012-04-16,2012-04-16,,,296,8K_FTS+8K_SUBMISSIONS,,5172,1,8
1025707,"INCENTRA SOLUTIONS, INC.",1,2009-02-05,2009-02-05,,,0,8K_FTS+8K_SUBMISSIONS,,7389,1,2
1025953,"NOVATION COMPANIES, INC.",1,2008-09-15,2008-09-15,,,0,8K_SUBMISSIONS,,6531.0,1,1
1025953,"NOVATION COMPANIES, INC.",2,2016-07-22,2016-07-22,,,329,8K_FTS+8K_SUBMISSIONS,,6531.0,1,3
1025953,"NOVATION COMPANIES, INC.",3,2023-08-16,2023-08-16,,,0,8K_FTS+8K_SUBMISSIONS,,6531,1,2
1026214,FEDERAL HOME LOAN MORTGAGE CORP,1,2008-09-11,2008-09-11,,,0,8K_SUBMISSIONS,,6111.0,1,1
1026304,BUCKHEAD COMMUNITY BANCORP INC,1,2009-12-08,2009-12-08,,,76,8K_FTS+8K_SUBMISSIONS,,6022,1,4
1026486,Star Telecommunications Inc.,1,2001-03-13,,2001-03-13,,0,LOPUCKI,11,4813,1,1
1027574,Outsourcing Solutions Inc.,1,2003-05-02,,2003-05-02,,0,LOPUCKI,11,8741,1,1
1027702,"EPIX Pharmaceuticals, Inc.",1,2009-07-21,2009-07-21,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
1028965,Special Metals Corp.,1,2002-03-27,,2002-03-27,,0,LOPUCKI,11,3310,1,1
1028985,"Spectrum Brands, Inc.",1,2009-02-03,2009-02-03,2009-02-03,0,163,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,3690,1,5
1029253,Clark Material Handling Company,1,2000-04-17,,2000-04-17,,0,LOPUCKI,11,3537,1,1
1029738,LIFESTREAM TECHNOLOGIES INC,1,2006-12-01,2006-12-01,,,0,8K_SUBMISSIONS,,3841.0,1,1
1029744,SONIC FOUNDRY INC  (SOFO),1,2024-03-22,2024-03-22,,,6,8K_FTS+8K_SUBMISSIONS,,3663,1,4
1029893,Radnor Holdings Corporation,1,2006-08-21,2006-08-23,2006-08-21,2,2,8K_SUBMISSIONS+LOPUCKI,11,3086,1,2
1030058,WORLDGATE COMMUNICATIONS INC,1,2012-03-30,2012-03-30,,,0,8K_FTS+8K_SUBMISSIONS,,4841,1,2
1030339,NANOGEN INC,1,2009-05-15,2009-05-15,,,0,8K_FTS+8K_SUBMISSIONS,,3826,1,2
1030749,"GulfMark Offshore, Inc.",1,2017-05-17,2017-05-18,2017-05-17,1,141,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,3533,1,5
1031107,"Peregrine Systems, Inc.",1,2002-09-22,,2002-09-22,,0,LOPUCKI,11,7372,1,1
1031296,FIRSTENERGY CORP  (FE),1,2018-04-05,2018-04-05,,,0,8K_FTS+8K_SUBMISSIONS,,4911,1,2
1031754,"Wherehouse Entertainment, Inc. (2003)",1,2003-01-20,,2003-01-20,,0,LOPUCKI,11,5735,1,1
1031999,Eastern 1996D Limited Partnership,1,2013-09-18,2013-09-18,,,460,8K_FTS+8K_SUBMISSIONS,,1381,1,6
103341,QUAKER FABRIC CORP /DE/,1,2007-08-17,2007-08-17,,,0,8K_SUBMISSIONS,,2221.0,1,1
1033671,Safelite Glass Corporation,1,2000-06-09,,2000-06-09,,0,LOPUCKI,11,7500,1,1
1034258,"Noble International, Ltd.",1,2009-04-15,2009-04-16,2009-04-15,1,1,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,3714,1,3
1034682,HERITAGE WORLDWIDE INC,1,2009-05-29,2009-05-29,,,0,8K_FTS+8K_SUBMISSIONS,,9995,1,2
1035270,CORNERSTONE MINISTRIES INVESTMENTS INC,1,2008-02-12,2008-02-12,,,0,8K_SUBMISSIONS,,6199.0,1,1
1035423,Atlantic Express Transportation Corp.,1,2002-08-16,,2002-08-16,,0,LOPUCKI,11,4100,1,1
1035426,CRESCENT OPERATING INC,1,2005-01-21,2005-01-21,,,12,8K_SUBMISSIONS,,6798.0,1,2
1035815,Journal Register Company,1,2009-02-21,,2009-02-21,,0,LOPUCKI,11,2711,1,1
1035826,NETBANK INC,1,2007-09-28,2007-09-28,2007-09-28,0,360,8K_SUBMISSIONS+LOPUCKI,11,6036.0,1,3
1036297,"RSL Communications, Ltd.",1,2001-03-19,,2001-03-19,,0,LOPUCKI,11,4813,1,1
1036712,"OpTel, Inc.",1,1999-10-28,,1999-10-28,,0,LOPUCKI,11,4841,1,1
1036848,Mega Matrix Corp.,1,2013-03-14,2013-03-14,,,0,8K_SUBMISSIONS,,7812.0,1,1
1036848,AEROCENTURY CORP  (MPU),2,2021-03-30,2021-03-30,,,185,8K_FTS+8K_SUBMISSIONS,,7359,1,6
1037016,NII HOLDINGS INC,1,2014-09-15,2014-09-15,2014-09-15,0,280,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,4812,1,5
1037067,"Kasper A.S.L., Ltd.",1,2002-02-05,,2002-02-05,,0,LOPUCKI,11,2330,1,1
1037131,PLAYERS NETWORK,1,2020-06-22,2020-06-22,,,0,8K_FTS+8K_SUBMISSIONS,,4841,1,2
1037676,ARCH COAL INC  (ARCH),1,2016-01-11,2016-01-11,2016-01-11,0,248,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1221,1,5
1037759,PONY EXPRESS USA INC,1,2005-05-02,2005-05-02,,,0,8K_SUBMISSIONS,,5961.0,1,1
1037927,Globalstar LP,1,2002-02-15,,2002-02-15,,0,LOPUCKI,11,4812,1,1
1038217,Tarragon Corporation,1,2009-01-12,2009-01-16,2009-01-12,4,4,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,6798,1,3
1038274,ANVIL HOLDINGS INC,1,2006-10-06,2006-10-06,,,0,8K_SUBMISSIONS,,2253.0,1,1
1038363,"Metals USA, Inc.",1,2001-11-14,,2001-11-14,,0,LOPUCKI,11,5051,1,1
1039184,TRAILER BRIDGE INC,1,2011-11-16,2011-11-16,,,126,8K_FTS+8K_SUBMISSIONS,,4400,1,4
1039387,NATURAL GOLF CORP,1,2005-05-17,2005-05-17,,,0,8K_SUBMISSIONS,,3949.0,1,1
1039690,Encompass Services Corporation,1,2002-11-19,,2002-11-19,,0,LOPUCKI,11,1700,1,1
1039780,"Friede Goldman Halter, Inc.",1,2001-04-19,,2001-04-19,,0,LOPUCKI,11,3533,1,1
1039971,"Eagle Geophysical, Inc.",1,1999-09-29,,1999-09-29,,0,LOPUCKI,11,1382,1,1
1040475,"Oxford Automotive, Inc.",1,2002-01-18,,2002-01-18,,0,LOPUCKI,11,3460,1,1
1040570,Orbital Imaging Corp.,1,2002-04-05,,2002-04-05,,0,LOPUCKI,11,4899,1,1
1040599,Neenah Foundry Company (2003),1,2003-08-05,,2003-08-05,,0,LOPUCKI,11,3220,1,1
1040599,NEENAH FOUNDRY CO,2,2010-02-04,2010-02-04,,,0,8K_FTS+8K_SUBMISSIONS,,3320,1,2
1040719,Walter Investment Management Corp.,1,2017-11-30,2017-12-01,2017-11-30,1,50,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,6162,1,5
1040719,DITECH HOLDING Corp,2,2019-02-11,2019-02-11,2019-02-11,0,0,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,6162,1,3
